Candidate_ID,Candidate_Gender,Candidate_Education_Level,Candidate_Work_Experience,Candidate_Skills,Job_Type,Job_Category,Required_Skills,Job_Description,Title,URL
1,0,3,8,"Machine Learning,Python",intership,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Machine Learning Specialization,https://www.coursera.org/specializations/machine-learning-introduction
2,0,3,6,"Graphic Design,Adobe Creative Suite",Full-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Introduction to Data Science Specialization,https://www.coursera.org/specializations/introduction-data-science
3,1,4,7,"Machine Learning,Python",Part-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Data Science Fundamentals with Python and SQL Specialization,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
4,0,2,7,"Machine Learning,data analysis",Full-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Key Technologies for Business Specialization,https://www.coursera.org/specializations/key-technologies-for-business
5,0,2,1,"Customer Service,communication",Full-time,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Deep Learning Specialization,https://www.coursera.org/specializations/deep-learning
6,0,2,2,"Excel,statistical modelling",Full-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",IBM & Darden Digital Strategy Specialization,https://www.coursera.org/specializations/digital-strategy
7,0,2,2,"Machine Learning,Python",intership,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",IBM AI Foundations for Business Specialization,https://www.coursera.org/specializations/ibm-ai-foundations-for-business
8,0,4,0,"Customer Service,communication",Full-time,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Data Analysis and Visualization Foundations Specialization,https://www.coursera.org/specializations/data-analysis-visualization-foundations
9,1,1,2,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Applied Data Science Specialization,https://www.coursera.org/specializations/applied-data-science
10,0,1,8,"Financial analysis,accounting",Full-time,Finance,"Financial analysis,Excel,accounting",financial analyst,Data Engineering Foundations Specialization,https://www.coursera.org/specializations/data-engineering-foundations
11,0,1,4,python,Part-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",IT Fundamentals for Cybersecurity Specialization,https://www.coursera.org/specializations/it-fundamentals-cybersecurity
12,0,1,9,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Applied Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/software-engineering-fundamentals
13,1,2,1,"Python,Java",intership,Software Development,"Python,Java,data structures",software engineer,"DevOps, Cloud, and Agile Foundations Specialization",https://www.coursera.org/specializations/devops-cloud-and-agile-foundations
14,1,4,9,"Social media,content creation",intership,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",Cloud Application Development Foundations Specialization,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations
